"sourceUrl","country","priceMax","isSeed","city","price","description","currency","categoryCode","sourceName","title","status","id","created_date","updated_date","created_by_id","is_sample"
"https://www.olx.pl/uslugi/budowa-remont/bialystok/","PL","7500","true","Białystok","2000","Oferujemy pomoc przy drobnych poprawkach remontowych, takich jak montaż drzwi, listew czy drobne szpachlowanie ubytków. Idealne rozwiązanie przy odświeżaniu mieszkania.","RUB","ОТД","OLX","Drobne prace wykończeniowe i naprawcze","ACTIVE","6a8125113a66422fb0ea64fb","2026-08-16T02:48:49.943000","2026-08-16T02:48:49.943000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://bialystok.lento.pl/remonty.html","PL","3500","true","Białystok","1200","Oferujemy profesjonalne malowanie i szpachlowanie natryskowe agregatami hydrodynamicznymi dla domów i mieszkań. Gwarantujemy wysoką jakość wykończenia oraz szybkie terminy realizacji.","RUB","ОТД","Lento.pl","Malowanie i szpachlowanie natryskowe","ACTIVE","6a8125113a66422fb0ea64f4","2026-08-16T02:48:49.942000","2026-08-16T02:48:49.942000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://bialystok.lento.pl/uslugi-i-firmy/uslugi-remontowe-i-budowlane.html","PL","150000","true","Białystok","25000","Kompleksowe wykończenia wnętrz, w tym szpachlowanie, malowanie oraz instalacje hydrauliczne i elektryczne. Zapewniamy solidne wykonanie, czystość podczas pracy oraz gwarancję na usługi.","RUB","ОТД","Lento.pl","Remonty mieszkań i lokali pod klucz","ACTIVE","6a8125113a66422fb0ea64f5","2026-08-16T02:48:49.942000","2026-08-16T02:48:49.942000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://bialystok.lento.pl/remonty.html","PL","25000","true","Białystok","5000","Specjalizujemy się w układaniu glazury, terakoty oraz kompleksowym wykończeniu łazienek od A do Z. Pomagamy w doborze materiałów i projektowaniu funkcjonalnej przestrzeni.","RUB","ОТД","Lento.pl","Glazurnictwo i remonty łazienek","ACTIVE","6a8125113a66422fb0ea64f6","2026-08-16T02:48:49.942000","2026-08-16T02:48:49.942000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://fixly.pl/kategoria/remont-mieszkania/bialystok","PL","4500","true","Białystok","800","Profesjonalny montaż paneli podłogowych, listew przypodłogowych oraz przygotowanie podłoża. Szybka i precyzyjna realizacja w mieszkaniach i biurach na terenie Białegostoku.","RUB","ОТД","Fixly","Układanie paneli i wykończenie podłóg","ACTIVE","6a8125113a66422fb0ea64f7","2026-08-16T02:48:49.942000","2026-08-16T02:48:49.942000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://workgroup.biz.pl/wykonczenie-wnetrz-bialystok","PL","500000","true","Białystok","45000","Specjalistyczne usługi remontowe dla sklepów, biur i siłowni, obejmujące ścianki działowe oraz sufity podwieszane. Dostarczamy lokale gotowe do użytku w krótkim czasie.","RUB","ОТД","Work Group","Wykończenia wnętrz lokali usługowych","ACTIVE","6a8125113a66422fb0ea64f8","2026-08-16T02:48:49.942000","2026-08-16T02:48:49.942000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://wykonczeniowo-bialystok.pl/","PL","12000","true","Białystok","3500","Wykonujemy nowoczesne sufity napinane oraz konstrukcje z płyt kartonowo-gipsowych z oświetleniem LED. Estetyczne rozwiązanie dla salonów i sypialni.","RUB","ОТД","Expert Grzegorz Budny","Montaż sufitów napinanych i podwieszanych","ACTIVE","6a8125113a66422fb0ea64f9","2026-08-16T02:48:49.942000","2026-08-16T02:48:49.942000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://www.bialystokonline.pl/uslugi-remontowo-budowlane-stolarskie%2Cogloszenia%2C37%2C1.html","PL","6000","true","Białystok","1500","Precyzyjne układanie tapet, fototapet oraz nakładanie tynków dekoracyjnych. Odmienimy Twoje wnętrze nadając mu unikalny charakter.","RUB","ОТД","Białystok Online","Tapetowanie i dekoracja ścian","ACTIVE","6a8125113a66422fb0ea64fa","2026-08-16T02:48:49.942000","2026-08-16T02:48:49.942000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://www.avito.ru","RU","500","true","Казань","300","Опытная няня с педагогическим образованием присмотрит за вашим ребенком. Стаж работы более 5 лет, рекомендации предоставляются.","RUB","НЯН","Авито","Услуги няни для ребенка на дому","ACTIVE","6a80e48d9316c4e0a468570d","2026-08-15T22:13:33.441000","2026-08-15T22:13:33.441000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
"https://profi.ru","RU","15000","true","Нижний Новгород","5000","Полное бухгалтерское сопровождение вашего бизнеса, сдача отчетности в налоговую и фонды. Оптимизация налогов.","RUB","БУХ","Профи.ру","Услуги бухгалтера: ведение ИП и ООО","ACTIVE","6a80e48d9316c4e0a468570e","2026-08-15T22:13:33.441000","2026-08-15T22:13:33.441000","service_c774a623-5385-460a-922c-178e81fe89a5","false"
